"","gene_id","gene_name","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000080572.13","ENSG00000080572.13","DNAAF6","protein_coding",0.323345342021317,-5.04616555799518,1.78885827176081,0.0738843563642657,0.105069991248425,-4.79263496094039
"ENSG00000179046.8","ENSG00000179046.8","TRIML2","protein_coding",0.352570275861605,-4.63629574834397,1.79856143357194,0.0723338769491363,0.10312273097658,-4.79335977289997
"ENSG00000151292.17","ENSG00000151292.17","CSNK1G3","protein_coding",-0.129366523344932,5.34217712124273,-2.29861343720633,0.0216944227657612,0.0345378729153458,-4.79354892233525
"ENSG00000204969.7","ENSG00000204969.7","PCDHA2","protein_coding",-0.364170786330322,-2.00881049082901,-1.89242647657054,0.0586694913110306,0.0853669845876309,-4.79422404915338
"ENSG00000163521.16","ENSG00000163521.16","GLB1L","protein_coding",-0.151222966482401,3.93742524740739,-2.22646665619937,0.0261640092299512,0.0410013268723766,-4.79445454069133
"ENSG00000183648.11","ENSG00000183648.11","NDUFB1","protein_coding",0.154628308408624,5.18588350391708,2.28365419905856,0.0225622101214282,0.0357706348953933,-4.79466925464669
"ENSG00000136628.18","ENSG00000136628.18","EPRS1","protein_coding",0.148444828415495,7.93536622576228,2.30944220126795,0.0210845300745278,0.0336843517049552,-4.79623406464348
"ENSG00000167555.14","ENSG00000167555.14","ZNF528","protein_coding",-0.214430799754154,4.13251526894674,-2.24246097168075,0.0251096824483535,0.0394831778069468,-4.79673053538891
"ENSG00000214021.16","ENSG00000214021.16","TTLL3","protein_coding",-0.193437051386769,3.38992278552761,-2.18495402159499,0.0290809407033666,0.0451415511372714,-4.79801297180423
"ENSG00000168802.14","ENSG00000168802.14","CHTF8","protein_coding",-0.191520970192932,-1.51747014943982,-1.90118295627628,0.0575122467480789,0.0838212924079237,-4.79819430111958
"ENSG00000139133.7","ENSG00000139133.7","ALG10","protein_coding",-0.137043852144911,2.04535038296166,-2.07220406493758,0.0384549731930378,0.0582315242347571,-4.79888686439324
"ENSG00000171873.8","ENSG00000171873.8","ADRA1D","protein_coding",-0.275090915866271,-2.19268786033888,-1.88111148012751,0.0601934750988301,0.0873633174504014,-4.79924662653388
"ENSG00000182545.6","ENSG00000182545.6","RNASE10","protein_coding",0.270494975281112,-3.96448775309404,1.81532121018667,0.0697186931285225,0.0997525293421754,-4.79985418992855
"ENSG00000162688.17","ENSG00000162688.17","AGL","protein_coding",-0.265524558442323,5.8526164378918,-2.30887641367278,0.0211160218032921,0.0337220419277228,-4.80008045600206
"ENSG00000175110.12","ENSG00000175110.12","MRPS22","protein_coding",-0.0893895263739157,4.31656456205901,-2.24601074660646,0.0248807432114224,0.0391628586223302,-4.80152878182034
"ENSG00000130714.18","ENSG00000130714.18","POMT1","protein_coding",0.104340527614266,5.01789963737797,2.27439215425015,0.0231145131898386,0.0365783422350782,-4.80326033526418
"ENSG00000124789.12","ENSG00000124789.12","NUP153","protein_coding",-0.150199661690191,6.28487396103427,-2.31040192157273,0.0210312057399505,0.0336152655773653,-4.80416936934335
"ENSG00000125952.20","ENSG00000125952.20","MAX","protein_coding",0.097625190986899,6.01795462408498,2.30458917376315,0.0213559856925545,0.034060662777916,-4.80530759141747
"ENSG00000159110.20","ENSG00000159110.20","IFNAR2","protein_coding",-0.144115287406571,-0.0409097819738893,-1.94943873099497,0.0514707156931087,0.0758293762260423,-4.80535564611939
"ENSG00000068323.17","ENSG00000068323.17","TFE3","protein_coding",-0.10284925718716,6.11128162338427,-2.30768988898266,0.0211821970163472,0.0338182341331583,-4.80607032097242
"ENSG00000196151.11","ENSG00000196151.11","WDSUB1","protein_coding",-0.106865439483344,3.73704990796403,-2.20351057086057,0.0277441013448631,0.0432512124955298,-4.80610831391105
"ENSG00000131398.15","ENSG00000131398.15","KCNC3","protein_coding",-0.356801792905157,2.91375806315434,-2.15119566113832,0.0316555895946296,0.0487789181778088,-4.80626624126485
"ENSG00000177791.12","ENSG00000177791.12","MYOZ1","protein_coding",-0.309475050279098,-0.339211765117326,-1.94169259243177,0.0524030788634208,0.0770036636482711,-4.80652912622668
"ENSG00000107140.16","ENSG00000107140.16","TESK1","protein_coding",0.13336095182024,5.59331345582045,2.29332998785251,0.0219975354969271,0.0349606178822121,-4.80721075396858
"ENSG00000103642.12","ENSG00000103642.12","LACTB","protein_coding",0.141046185463349,4.40870407749113,2.23735085712502,0.025442459512285,0.0399733158053244,-4.80729427198855
"ENSG00000072501.19","ENSG00000072501.19","SMC1A","protein_coding",0.140366540284989,7.22054385238854,2.30969731111105,0.0210703440708685,0.0336648381220248,-4.80744735810579
